Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
Gabriele Detti,M,21,184,79,Italy,Swimming,2
Gabriella Al-Doueihy,F,17,,,Lebanon,Swimming,0
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20,157,50,United States,Gymnastics,1
Gabrielle Mores da Silva,F,19,164,51,Brazil,Rhythmic Gymnastics,0
Gaby Diana Ahrens,F,35,169,60,Namibia,Shooting,0
"Galyna Volodymyrivna ""Galia"" Dvorak Khasanova",F,28,169,58,Spain,Table Tennis,0
Garrett Bender,M,24,193,105,United States,Rugby Sevens,0
Gasto Jos Ministro Elias,M,25,183,76,Portugal,Tennis,0
Gauthier Boccard,M,24,186,79,Belgium,Hockey,1
Gayane Chiloyan,F,15,164,54,Armenia,Athletics,0
Gayle Broughton,F,20,174,70,New Zealand,Rugby Sevens,1
Gbor Balog,M,25,186,80,Hungary,Swimming,0
Gbor Gyula Boczk,M,39,192,89,Hungary,Fencing,1
Geisa Aparecida Muniz Coutinho,F,36,161,55,Brazil,Athletics,0
Geisa Rafaela Arcanjo,F,24,180,92,Brazil,Athletics,0
Gelete Burka Bati,F,30,160,43,Ethiopia,Athletics,0
Gemma Acheampong,F,23,163,54,Ghana,Athletics,0
Gemma Beadsworth,F,29,180,78,Australia,Water Polo,0
Gemma Etheridge,F,29,169,66,Australia,Rugby Sevens,1
"Genevieve ""Gen"" Behrent",F,25,183,73,New Zealand,Rowing,1
Genzebe Dibaba Keneni,F,25,168,52,Ethiopia,Athletics,1
Geoffrey Butler,M,20,188,84,Cayman Islands,Swimming,0
Geoffrey Robin Cheah,M,25,188,70,Hong Kong,Swimming,0
George Bennett,M,26,181,58,New Zealand,Cycling,0
George Richard Lycott Bovell,M,33,196,74,Trinidad and Tobago,Swimming,0
George Spencer Bridgewater,M,33,200,97,New Zealand,Rowing,0
Georgi Bozhilov,M,27,201,107,Bulgaria,Rowing,0
Georgia Amy Coates,F,17,170,54,Great Britain,Swimming,0
Georgia Baker,F,21,179,66,Australia,Cycling,0
Georgia Beth Davies,F,25,175,64,Great Britain,Swimming,0
Georgia Bohl,F,19,167,54,Australia,Swimming,0
Georgios Dervisis,M,21,195,92,Greece,Water Polo,0
"Geraldina Rachel ""Dina"" Asher-Smith",F,20,164,55,Great Britain,Athletics,1
Germain Louis Marcel Chardin,M,33,195,90,France,Rowing,0
Germn Pablo Chiaraviglio Ermcora,M,29,195,84,Argentina,Athletics,0
Ghofran Ahmed Zaki,M,23,192,68,Egypt,Taekwondo,0
Ghulam Mustafa Bashir,M,29,180,74,Pakistan,Shooting,0
Gianina Elena Beleag,F,21,178,57,Romania,Rowing,0
Gil Cohen,F,24,170,62,Israel,Sailing,0
Gilda Isabelis Casanova Aguilera,F,20,165,54,Cuba,Athletics,0
Gili Cohen,F,25,160,52,Israel,Judo,0
Gina Bass,F,21,,,Gambia,Athletics,0
Giordano Benedetti,M,27,189,67,Italy,Athletics,0
Giorgi Chkheidze,M,18,178,105,Georgia,Weightlifting,0
Giorgia Bordignon,F,29,161,63,Italy,Weightlifting,0
Giorgia Bronzini,F,33,160,54,Italy,Cycling,0
Giorgio Avola,M,27,178,72,Italy,Fencing,0
Giovanni Abagnale,M,21,198,90,Italy,Rowing,1
Giovanni Battista Bardis,M,29,177,85,France,Weightlifting,0
Giovanni Cernogoraz,M,33,186,90,Croatia,Shooting,0
Giovanni De Gennaro,M,24,185,80,Italy,Canoeing,0
Giovanni Orlando Codrington,M,28,177,84,Netherlands,Athletics,0
Giselle Anne Ansley,F,24,176,73,Great Britain,Hockey,1
